Date,Price
01/01/1980,0.879
01/02/1980,0.774
01/03/1980,0.812
01/04/1980,0.797
01/05/1980,0.737
01/06/1980,0.731
01/07/1980,0.776
01/08/1980,0.907
01/09/1980,0.898
01/10/1980,0.867
01/11/1980,0.917
01/12/1980,1.031
01/01/1981,0.943
01/02/1981,0.924
01/03/1981,0.875
01/04/1981,0.904
01/05/1981,0.836
01/06/1981,0.852
01/07/1981,0.860
01/08/1981,0.868
01/09/1981,0.915
01/10/1981,0.898
01/11/1981,0.943
01/12/1981,0.966
01/01/1982,0.925
01/02/1982,1.007
01/03/1982,0.952
01/04/1982,0.896
01/05/1982,0.842
01/06/1982,0.783
01/07/1982,0.851
01/08/1982,0.778
01/09/1982,0.852
01/10/1982,0.854
01/11/1982,0.849
01/12/1982,0.813
01/01/1983,0.821
01/02/1983,0.794
01/03/1983,0.836
01/04/1983,0.825
01/05/1983,0.865
01/06/1983,0.825
01/07/1983,0.847
01/08/1983,0.884
01/09/1983,0.938
01/10/1983,0.962
01/11/1983,0.996
01/12/1983,1.131
01/01/1984,1.301
01/02/1984,1.324
01/03/1984,1.153
01/04/1984,1.199
01/05/1984,1.054
01/06/1984,0.903
01/07/1984,0.876
01/08/1984,0.860
01/09/1984,0.854
01/10/1984,0.842
01/11/1984,0.823
01/12/1984,0.867
01/01/1985,0.746
01/02/1985,0.784
01/03/1985,0.79
01/04/1985,0.783
01/05/1985,0.745
01/06/1985,0.724
01/07/1985,0.787
01/08/1985,0.789
01/09/1985,0.857
01/10/1985,0.860
01/11/1985,0.872
01/12/1985,0.906
01/01/1986,0.901
01/02/1986,0.866
01/03/1986,0.887
01/04/1986,0.89
01/05/1986,0.82
01/06/1986,0.795
01/07/1986,0.833
01/08/1986,0.913
01/09/1986,0.868
01/10/1986,0.855
01/11/1986,0.897
01/12/1986,0.910
01/01/1987,0.862
01/02/1987,0.823
01/03/1987,0.8
01/04/1987,0.786
01/05/1987,0.763
01/06/1987,0.711
01/07/1987,0.763
01/08/1987,0.730
01/09/1987,0.837
01/10/1987,0.778
01/11/1987,0.805
01/12/1987,0.733
01/01/1988,0.76
01/02/1988,0.718
01/03/1988,0.74
01/04/1988,0.719
01/05/1988,0.678
01/06/1988,0.705
01/07/1988,0.803
01/08/1988,0.909
01/09/1988,0.874
01/10/1988,0.896
01/11/1988,0.839
01/12/1988,0.833
01/01/1989,0.941
01/02/1989,0.89
01/03/1989,1.031
01/04/1989,0.997
01/05/1989,0.956
01/06/1989,0.937
01/07/1989,0.961
01/08/1989,0.983
01/09/1989,1.038
01/10/1989,1.023
01/11/1989,1.080
01/12/1989,1.137
01/01/1990,1.223
01/02/1990,1.041
01/03/1990,1.111
01/04/1990,1.092
01/05/1990,0.94
01/06/1990,0.93
01/07/1990,0.899
01/08/1990,0.954
01/09/1990,0.946
01/10/1990,1.012
01/11/1990,1.018
01/12/1990,1.001
01/01/1991,1.106
01/02/1991,0.987
01/03/1991,1.069
01/04/1991,1.002
01/05/1991,0.908
01/06/1991,0.884
01/07/1991,0.966
01/08/1991,1.024
01/09/1991,0.987
01/10/1991,0.976
01/11/1991,0.950
01/12/1991,1.012
01/01/1992,0.933
01/02/1992,0.881
01/03/1992,0.85
01/04/1992,0.829
01/05/1992,0.836
01/06/1992,0.801
01/07/1992,0.827
01/08/1992,0.809
01/09/1992,0.873
01/10/1992,0.858
01/11/1992,0.897
01/12/1992,0.928
01/01/1993,0.898
01/02/1993,0.895
01/03/1993,0.927
01/04/1993,0.997
01/05/1993,0.895
01/06/1993,0.921
01/07/1993,0.900
01/08/1993,0.929
01/09/1993,0.890
01/10/1993,0.897
01/11/1993,0.917
01/12/1993,0.871
01/01/1994,0.917
01/02/1994,0.903
01/03/1994,0.926
01/04/1994,0.861
01/05/1994,0.801
01/06/1994,0.841
01/07/1994,0.815
01/08/1994,0.895
01/09/1994,0.855
01/10/1994,0.810
01/11/1994,0.857
01/12/1994,0.873
01/01/1995,0.882
01/02/1995,0.863
01/03/1995,0.875
01/04/1995,0.833
01/05/1995,0.819
01/06/1995,0.825
01/07/1995,0.879
01/08/1995,0.984
01/09/1995,0.956
01/10/1995,0.981
01/11/1995,1.037
01/12/1995,1.160
01/01/1996,1.155
01/02/1996,1.091
01/03/1996,1.138
01/04/1996,1.086
01/05/1996,1.021
01/06/1996,0.945
01/07/1996,1.042
01/08/1996,1.072
01/09/1996,1.150
01/10/1996,1.129
01/11/1996,1.139
01/12/1996,1.308
01/01/1997,1.148
01/02/1997,1.132
01/03/1997,1.056
01/04/1997,1.081
01/05/1997,1.002
01/06/1997,0.952
01/07/1997,0.979
01/08/1997,1.061
01/09/1997,1.009
01/10/1997,1.018
01/11/1997,1.090
01/12/1997,1.172
01/01/1998,1.12
01/02/1998,1.073
01/03/1998,1.043
01/04/1998,1.061
01/05/1998,0.96
01/06/1998,0.932
01/07/1998,0.971
01/08/1998,1.053
01/09/1998,1.022
01/10/1998,1.048
01/11/1998,1.077
01/12/1998,1.089
01/01/1999,1.053
01/02/1999,1.078
01/03/1999,1.005
01/04/1999,0.942
01/05/1999,0.9
01/06/1999,0.949
01/07/1999,0.880
01/08/1999,1.020
01/09/1999,0.956
01/10/1999,0.888
01/11/1999,0.920
01/12/1999,0.920
01/01/2000,0.975
01/02/2000,0.962
01/03/2000,0.931
01/04/2000,0.939
01/05/2000,0.852
01/06/2000,0.838
01/07/2000,0.868
01/08/2000,0.893
01/09/2000,0.920
01/10/2000,0.923
01/11/2000,0.902
01/12/2000,0.959
01/01/2001,1.011
01/02/2001,0.943
01/03/2001,0.886
01/04/2001,1.028
01/05/2001,0.881
01/06/2001,0.92
01/07/2001,0.862
01/08/2001,0.929
01/09/2001,0.916
01/10/2001,0.916
01/11/2001,0.935
01/12/2001,0.925
01/01/2002,0.973
01/02/2002,0.996
01/03/2002,1.003
01/04/2002,1.047
01/05/2002,0.997
01/06/2002,0.975
01/07/2002,0.990
01/08/2002,1.053
01/09/2002,1.055
01/10/2002,1.039
01/11/2002,1.080
01/12/2002,1.176
01/01/2003,1.175
01/02/2003,1.189
01/03/2003,1.209
01/04/2003,1.131
01/05/2003,1.009
01/06/2003,1.199
01/07/2003,1.150
01/08/2003,1.277
01/09/2003,1.257
01/10/2003,1.330
01/11/2003,1.448
01/12/2003,1.559
01/01/2004,1.573
01/02/2004,1.583
01/03/2004,1.625
01/04/2004,1.562
01/05/2004,1.372
01/06/2004,1.311
01/07/2004,1.253
01/08/2004,1.277
01/09/2004,1.145
01/10/2004,1.089
01/11/2004,1.085
01/12/2004,1.199
01/01/2005,1.211
01/02/2005,1.284
01/03/2005,1.132
01/04/2005,1.164
01/05/2005,1.185
01/06/2005,1.139
01/07/2005,1.165
01/08/2005,1.166
01/09/2005,1.279
01/10/2005,1.264
01/11/2005,1.279
01/12/2005,1.350
01/01/2006,1.449
01/02/2006,1.328
01/03/2006,1.302
01/04/2006,1.283
01/05/2006,1.206
01/06/2006,1.242
01/07/2006,1.213
01/08/2006,1.244
01/09/2006,1.254
01/10/2006,1.257
01/11/2006,1.354
01/12/2006,1.543
01/01/2007,1.549
01/02/2007,1.746
01/03/2007,1.634
01/04/2007,1.616
01/05/2007,1.504
01/06/2007,1.373
01/07/2007,1.502
01/08/2007,1.634
01/09/2007,1.825
01/10/2007,1.771
01/11/2007,1.862
01/12/2007,2.099
01/01/2008,2.175
01/02/2008,2.168
01/03/2008,2.203
01/04/2008,2.069
01/05/2008,1.93
01/06/2008,1.92
01/07/2008,2.011
01/08/2008,1.854
01/09/2008,1.978
01/10/2008,1.858
01/11/2008,1.838
01/12/2008,1.834
01/01/2009,1.85
01/02/2009,1.795
01/03/2009,1.693
01/04/2009,1.774
01/05/2009,1.501
01/06/2009,1.529
01/07/2009,1.495
01/08/2009,1.632
01/09/2009,1.627
01/10/2009,1.595
01/11/2009,1.705
01/12/2009,1.772
01/01/2010,1.789
01/02/2010,1.872
01/03/2010,1.822
01/04/2010,1.779
01/05/2010,1.523
01/06/2010,1.494
01/07/2010,1.441
01/08/2010,1.519
01/09/2010,1.753
01/10/2010,1.456
01/11/2010,1.675
01/12/2010,1.793
01/01/2011,1.806
01/02/2011,1.708
01/03/2011,1.732
01/04/2011,1.727
01/05/2011,1.692
01/06/2011,1.683
01/07/2011,1.647
01/08/2011,1.711
01/09/2011,1.947
01/10/2011,1.871
01/11/2011,1.836
01/12/2011,1.874
01/01/2012,1.939
01/02/2012,1.798
01/03/2012,1.774
01/04/2012,1.829
01/05/2012,1.691
01/06/2012,1.67
01/07/2012,1.648
01/08/2012,1.884
01/09/2012,1.889
01/10/2012,1.960
01/11/2012,1.963
01/12/2012,2.007
01/01/2013,1.933
01/02/2013,1.965
01/03/2013,1.925
01/04/2013,1.918
01/05/2013,1.87
01/06/2013,1.859
01/07/2013,1.833
01/08/2013,1.838
01/09/2013,1.897
01/10/2013,1.925
01/11/2013,1.925
01/12/2013,2.026
01/01/2014,2.008
01/02/2014,1.998
01/03/2014,2.061
01/04/2014,2.119
01/05/2014,1.996
01/06/2014,1.948
01/07/2014,1.950
01/08/2014,1.979
01/09/2014,1.970
01/10/2014,1.951
01/11/2014,2.032
01/12/2014,2.210
01/01/2015,2.113
01/02/2015,2.088
01/03/2015,2.133
01/04/2015,2.065
01/05/2015,1.962
01/06/2015,2.57
01/07/2015,2.570
01/08/2015,2.943
01/09/2015,2.966
01/10/2015,2.808
01/11/2015,2.664
01/12/2015,2.751
01/01/2016,2.328
01/02/2016,2.267
01/03/2016,2.081
01/04/2016,1.793
01/05/2016,1.684
01/06/2016,1.491
01/07/2016,1.546
01/08/2016,1.455
01/09/2016,1.471
01/10/2016,1.390
01/11/2016,1.321
01/12/2016,1.383
01/01/2017,1.599
01/02/2017,1.464
01/03/2017,1.404
01/04/2017,1.409
01/05/2017,1.414
01/06/2017,1.332
01/07/2017,1.333
01/08/2017,1.367
01/09/2017,1.422
01/10/2017,1.540
01/11/2017,1.506
01/12/2017,1.815
01/01/2018,1.769
01/02/2018,1.755
01/03/2018,1.831
01/04/2018,2.081
01/05/2018,1.987
01/06/2018,1.628
01/07/2018,1.725
01/08/2018,1.622
01/09/2018,1.651
01/10/2018,1.660
01/11/2018,1.596
01/12/2018,1.595
01/01/2019,1.554
01/02/2019,1.557
01/03/2019,1.544
01/04/2019,1.463
01/05/2019,1.362
01/06/2019,1.203
01/07/2019,1.243
01/08/2019,1.219
01/09/2019,1.383
01/10/2019,1.282
01/11/2019,1.405
01/12/2019,1.535
01/01/2020,1.461
01/02/2020,1.449
01/03/2020,1.525
01/04/2020,2.019
01/05/2020,1.64
01/06/2020,1.554
01/07/2020,1.401
01/08/2020,1.328
01/09/2020,1.353
01/10/2020,1.408
01/11/2020,1.450
01/12/2020,1.481
01/01/2021,1.466
01/02/2021,1.597
01/03/2021,1.625
01/04/2021,1.62
01/05/2021,1.625
01/06/2021,1.642
01/07/2021,1.642
01/08/2021,1.709
01/09/2021,1.835
01/10/2021,1.821
01/11/2021,1.718
01/12/2021,1.788
01/01/2022,1.929
01/02/2022,2.005
01/03/2022,2.046
01/04/2022,2.52
01/05/2022,2.863
01/06/2022,2.707
01/07/2022,2.936
01/08/2022,3.116
01/09/2022,2.902
01/10/2022,3.419
01/11/2022,3.589
01/12/2022,4.250
01/01/2023,4.823
01/02/2023,4.211
01/03/2023,3.446
01/04/2023,3.27
01/05/2023,2.666
01/06/2023,2.219
01/07/2023,2.094
01/08/2023,2.043
01/09/2023,2.065
01/10/2023,2.072
01/11/2023,2.138
01/12/2023,2.507
01/01/2024,2.522
01/02/2024,2.996
01/03/2024,2.992
01/04/2024,2.864
01/05/2024,2.699
01/06/2024,2.715
01/07/2024,3.080
01/08/2024,3.204
01/09/2024,3.821
01/10/2024,3.370
01/11/2024,3.649
01/12/2024,4.146
01/01/2025,4.953
01/02/2025,5.897
01/03/2025,6.227
01/04/2025,5.122
01/05/2025,4.548
01/06/2025,3.775
01/07/2025, 
01/08/2025, 
01/09/2025, 
01/10/2025, 
01/11/2025, 
01/12/2025, 
